zip,county_name,2020_mean_fmr,2019_mean_fmr,2018_mean_fmr,2017_mean_fmr,2016_mean_fmr,2015_mean_fmr,2014_mean_fmr,2013_mean_fmr,2012_mean_fmr,2011_mean_fmr
32764,Volusia County FL,1189,1156.2,1017.4,1016.6,949,950.6,927.2,940,886.2,959.6
32765,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32766,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32767,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32771,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32773,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32776,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32778,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32779,Seminole County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32780,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32784,Lake County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32789,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32792,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32796,Brevard County FL,1179.8,1098,1120.2,973.8,961.8,958.2,940.6,953.8,905.8,978
32801,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32803,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32804,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32806,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
32807,Orange County FL,1378.6,1316.2,1213.4,1108.4,1105.2,1095.6,1080.4,1080.4,1012,1068.2
